name,address,adname,pname,type,lat,lon
新中初级中学,高平路968号(近江场西路),静安区,上海市,科教文化服务;学校;中学,31.296905550044137,121.42386630781004
新中高级中学,原平路300,静安区,上海市,科教文化服务;学校;中学,31.286635879963377,121.42873162097177
民立中学,威海路681号,静安区,上海市,科教文化服务;学校;中学,31.227350555663186,121.45416776255169
上海市第一中学,余姚路139号,静安区,上海市,科教文化服务;学校;中学,31.237986585491647,121.43748114725172
风华中学,大宁路1000号,静安区,上海市,科教文化服务;学校;中学,31.27195293617056,121.44045056532872
上海市向东中学,蒙古路48号(近西藏北路),静安区,上海市,科教文化服务;学校;中学,31.2446092897959,121.46567751581205
上海市田家炳中学,景凤路185号,静安区,上海市,科教文化服务;学校;中学,31.32137049282986,121.45936959823806
培明中学,新闸路1607号(近常德路),静安区,上海市,科教文化服务;学校;中学,31.231097548516413,121.44281345017795
朝阳中学,虬江路723-7号,静安区,上海市,科教文化服务;学校;中学,31.25526621499708,121.47327532972011
上海市闸北第八中学,场中路3000号,静安区,上海市,科教文化服务;学校;中学,31.304042861046877,121.43214602682349
华东模范中学西校区,富民路50号,静安区,上海市,科教文化服务;学校;中学,31.22237936566371,121.4452078725742
上海市民办扬波中学,大统路991号,静安区,上海市,科教文化服务;学校;中学,31.258140118347765,121.45607547614118
上海戏剧学院附属高级中学,康定路770号(近胶州路),静安区,上海市,科教文化服务;学校;中学,31.23397139683511,121.43746345841134
同济大学附属七一中学,陕西北路461号(近新闸路),静安区,上海市,科教文化服务;学校;中学,31.232611690176526,121.44767207891209
上海市青云中学,止园路389号,静安区,上海市,科教文化服务;学校;中学,31.262405588975717,121.46459960347208
上海市五四中学,新闸路1368-1370号,静安区,上海市,科教文化服务;学校;中学,31.23374420645103,121.44576624832331
上海市第六十中学,青云路323号(宝昌路青云路),静安区,上海市,科教文化服务;学校;中学,31.26589159153811,121.46743628217358
上海市静安区实验中学,中华新路977号,静安区,上海市,科教文化服务;学校;中学,31.256866135808572,121.44970920974936
上海大学市北附属中学,中山北路600号,静安区,上海市,科教文化服务;学校;中学,31.262688044853693,121.45892433941887
上海市共康中学,长临路248号,静安区,上海市,科教文化服务;学校;中学,31.31686790462275,121.4321218672083
岭南中学,阳曲路421号,静安区,上海市,科教文化服务;学校;中学,31.31478723006267,121.45449613455419
新和中学,原平路128号(近晋城路),静安区,上海市,科教文化服务;学校;中学,31.28418364453961,121.42855554482584
上海市风华初级中学(西校),共和新路1700弄49号,静安区,上海市,科教文化服务;学校;中学,31.271759830458468,121.4502222659749
上海市静安区南阳学校,长乐路672弄34号,静安区,上海市,科教文化服务;学校;中学,31.221417917548322,121.44861243556416
上外静安外国语中学,北京西路653号,静安区,上海市,科教文化服务;学校;中学,31.23466938133246,121.45762394841371
上海市育才初级中学,山海关路445号,静安区,上海市,科教文化服务;学校;中学,31.23659557454119,121.45682848570631
上海市彭浦初级中学,彭浦新村150号,静安区,上海市,科教文化服务;学校;中学,31.311884530780798,121.44593490033314
民立中学(分部),威海路870号,静安区,上海市,科教文化服务;学校;中学,31.22687261663475,121.45056905364487
上海市育群中学,中山北路899弄56号,静安区,上海市,科教文化服务;学校;中学,31.264049183406712,121.45204077451857
上海市民办风范中学,共和新路2800号,静安区,上海市,科教文化服务;学校;中学,31.286187622244306,121.44638122433226
同济大学附属七一中学,余姚路818号,静安区,上海市,科教文化服务;学校;中学,31.231952123142115,121.42598503941495
上海新和诺斯克劳斯中学,彭浦镇原平路177号,静安区,上海市,科教文化服务;学校;中学,31.283778976671034,121.42793957973295
华东模范中学东校区,富民路43号,静安区,上海市,科教文化服务;学校;中学,31.223484230579057,121.44637362621056
上海市华东模范中学,富民路43号,静安区,上海市,科教文化服务;学校;中学,31.223938214146663,121.44646882220471
上海市时代中学,武定路431号,静安区,上海市,科教文化服务;学校;中学,31.23605769610817,121.4465209043422
上海久隆模范中学,岭南路115号(岭南路闻喜路),静安区,上海市,科教文化服务;学校;中学,31.30943248351607,121.45017688989977
上海市三泉学校,临汾路1515弄35号甲,静安区,上海市,科教文化服务;学校;中学,31.30852009243504,121.43342099589006
上海市电视高级中学星成分校,粤秀路642号,静安区,上海市,科教文化服务;学校;中学,31.29548437172545,121.45769591899568
市北初级中学北校,共和新路1873弄7号,静安区,上海市,科教文化服务;学校;中学,31.276550142160115,121.45037324926949
上海视觉美术学院附属高级中学,万航渡路419号,静安区,上海市,科教文化服务;学校;中学,31.227105474408962,121.43184316064634
上海市彭浦第三中学,保德路831弄,静安区,上海市,科教文化服务;学校;中学,31.316031901477853,121.44590847615872
上海市建承中学,北京西路653号,静安区,上海市,科教文化服务;学校;中学,31.234706364314327,121.45762394522242
上海市彭浦中学,三泉路604号,静安区,上海市,科教文化服务;学校;中学,31.31432126152021,121.43729513963969
上海视觉艺术学院附属高级中学,华山路433号,静安区,上海市,科教文化服务;学校;中学,31.21899193390276,121.44000817778307
风华初级中学教育集团(西校区),延长中路288号附近,静安区,上海市,科教文化服务;学校;中学,31.270101939629225,121.45219667319368
上海外国语大学苏河湾实验中学,柳营路465号上海外国语大学,静安区,上海市,科教文化服务;学校;中学,31.268581626561776,121.45733519209558
上海市彭顺中学,阳曲路667号,静安区,上海市,科教文化服务;学校;中学,31.31874263125683,121.4548768585962
上海市风华初级中学(粤秀苑北),永和东路393号,静安区,上海市,科教文化服务;学校;中学,31.293830052446232,121.45434351887032
上海市保德中学,平顺路874号,静安区,上海市,科教文化服务;学校;中学,31.319611659423966,121.45019305156436
上海市彭浦第四中学,彭浦新村闻喜路1000弄32号,静安区,上海市,科教文化服务;学校;中学,31.31050845308173,121.44103953198777
上海市民办精文中学,闻喜路与阳泉路交叉口东200米,静安区,上海市,科教文化服务;学校;中学,31.31038508279797,121.46034946483873
上海市静安区大宁国际学校,平型关路2166号,静安区,上海市,科教文化服务;学校;中学,31.30289017905045,121.45550198896082
上海视觉艺术学院附属高级中学,巨鹿路700号,静安区,上海市,科教文化服务;学校;中学,31.223182680969266,121.44795360471923
上海戏剧学院附属静安学校,长安路295号(近梅园路),静安区,上海市,科教文化服务;学校;中学,31.24385178766651,121.45620808486096
上海市闸北成功教育实验中学,共和新路街道和田路410号,静安区,上海市,科教文化服务;学校;中学,31.26926420710241,121.45686778513924
上海视觉艺术学院附属高级中学,万航渡路435号,静安区,上海市,科教文化服务;学校;中学,31.22701625725009,121.43167085863612
上海市曹杨第二中学,梅川路160号,普陀区,上海市,科教文化服务;学校;中学,31.24234757338912,121.39645054279707
进华中学,富平路657弄-91号,普陀区,上海市,科教文化服务;学校;中学,31.266033049655586,121.40435172058815
晋元高级中学,新村路2169号(近大华万里城),普陀区,上海市,科教文化服务;学校;中学,31.272644745396033,121.3929943761548
上海培佳双语学校,宜川路351弄70号,普陀区,上海市,科教文化服务;学校;中学,31.26730925036345,121.4355066027024
上海市宜川中学,华阴路101号(近骊山路),普陀区,上海市,科教文化服务;学校;中学,31.263654067692105,121.44022177989426
上海市曹杨中学,祁连山南路1069号,普陀区,上海市,科教文化服务;学校;中学,31.24686195796457,121.36292755949476
上海兰田中学,中山北路2605弄50号,普陀区,上海市,科教文化服务;学校;中学,31.246463957942233,121.4157870972986
上海市回民中学,沪太路1000号(近宜川路),普陀区,上海市,科教文化服务;学校;中学,31.271189433469747,121.43023349600712
中远实验学校,远景路801号(中远两湾城附近),普陀区,上海市,科教文化服务;学校;中学,31.253144538107435,121.43178179065625
上海市长征中学,真光路919号(近梅川路),普陀区,上海市,科教文化服务;学校;中学,31.240381067959966,121.37212043320514
上海市梅陇中学,丹巴路1508号-1580号,普陀区,上海市,科教文化服务;学校;中学,31.24488405377603,121.38466841926387
上海市怒江中学,枣阳路237号(近金沙江路),普陀区,上海市,科教文化服务;学校;中学,31.236959993527172,121.3974039892882
华东师范大学附属外国语实验学校(顺义路),顺义路218号,普陀区,上海市,科教文化服务;学校;中学,31.231110878994738,121.4114527068614
上海市武宁中学,凯旋北路469号,普陀区,上海市,科教文化服务;学校;中学,31.244111995663353,121.41915789066047
铜川学校,真如镇街道北石路610弄28号(近铜川路),普陀区,上海市,科教文化服务;学校;中学,31.25213950917597,121.38726928847127
上海市甘泉外国语中学,宜川街道宜川路400号,普陀区,上海市,科教文化服务;学校;中学,31.265236615224584,121.43135197161692
上海市新杨中学,雪松路458弄88号,普陀区,上海市,科教文化服务;学校;中学,31.28899018942732,121.35000959383996
上海市子长学校,甘泉一村68号,普陀区,上海市,科教文化服务;学校;中学,31.265087826300853,121.42791817081246
上海市桃浦中学,红棉路286号(红棉路绿杨路),普陀区,上海市,科教文化服务;学校;中学,31.28457255555077,121.34728136246895
上海市延河中学,新村路99号(宜川路口),普陀区,上海市,科教文化服务;学校;中学,31.269347580223542,121.43249668282058
曹杨二中附属学校分部,杨柳青路251号,普陀区,上海市,科教文化服务;学校;中学,31.23769467053201,121.39688893201384
同济大学第二附属中学,胶州路1006号(亚新生活广场对面),普陀区,上海市,科教文化服务;学校;中学,31.24139875991659,121.43039636482516
上海市澄源中学,延长西路661号,普陀区,上海市,科教文化服务;学校;中学,31.26110930755527,121.42457643112759
上海市兴陇中学,梅岭南路420号,普陀区,上海市,科教文化服务;学校;中学,31.23924435374012,121.4056935960478
上海市沙田学校,兰溪路51号(近梅岭南路),普陀区,上海市,科教文化服务;学校;中学,31.2399088003872,121.40758145849352
上海市长征中学高中部,香樟路429号,普陀区,上海市,科教文化服务;学校;中学,31.240578884814873,121.3525948700045
上海市真北中学,大渡河路2030弄1号-28号真北二街坊,普陀区,上海市,科教文化服务;学校;中学,31.25905997562201,121.39138699233145
上海市长征中学,长征镇香樟路429号,普陀区,上海市,科教文化服务;学校;中学,31.240535574381518,121.35343730558284
上海市洵阳中学,旬阳路41号,普陀区,上海市,科教文化服务;学校;中学,31.253618550317746,121.42096122921764
同济大学第二附属中学高中部,宜昌路550号,普陀区,上海市,科教文化服务;学校;中学,31.245984613467805,121.42745008452248
上海玉华中学,金汤路269号,普陀区,上海市,科教文化服务;学校;中学,31.25241770937179,121.37744159752413
万里城实验学校,新泉路150号,普陀区,上海市,科教文化服务;学校;中学,31.266019341134253,121.41447716127271
上海市甘泉外国语中学(甘泉路),甘泉路80号,普陀区,上海市,科教文化服务;学校;中学,31.266358747832303,121.4304072158872
